,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09
2022-04-21,0.06,0.155,0.375,0.675,0.995,1.25,1.56,1.9,2.055,2.1,2.285,2.5,2.69,2.865,2.97,3.085,3.195,3.22,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-26,0.06,0.185,0.465,0.835,1.195,1.485,1.82,2.19,2.375,2.395,2.565,2.78,2.98,3.175,3.28,3.39,3.495,3.515,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-27,0.06,0.16,0.43,0.815,1.185,1.48,1.825,2.18,2.365,2.39,2.57,2.785,2.965,3.145,3.25,3.34,3.425,3.435,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-28,0.06,0.25,0.565,0.955,1.33,1.63,1.95,2.295,2.47,2.505,2.68,2.895,3.065,3.175,3.275,3.345,3.385,3.385,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-29,0.06,0.24,0.56,0.97,1.365,1.655,1.975,2.305,2.5,2.53,2.705,2.875,3.045,3.155,3.255,3.325,3.365,3.365,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-02,0.06,0.23,0.53,0.925,1.34,1.63,1.965,2.32,2.515,2.54,2.725,2.915,3.055,3.17,3.23,3.31,3.355,3.37,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-03,,0.195,0.5,0.895,1.315,1.62,1.985,2.36,2.565,2.595,2.79,3.005,3.185,3.31,3.38,3.44,3.475,3.475,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-04,,0.28,0.65,1.08,1.5,1.82,2.185,2.56,2.765,2.795,2.99,3.205,3.385,3.51,3.58,3.64,3.675,3.675,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-05,,0.285,0.635,1.12,1.595,1.975,2.38,2.9,3.025,3.06,3.25,3.465,3.645,3.77,3.84,3.9,3.935,3.935,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-06,,0.285,0.605,1.04,1.53,1.885,2.29,2.71,2.89,2.925,3.095,3.26,3.44,3.565,3.635,3.695,3.73,3.73,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-09,,0.285,0.61,1.065,1.555,1.94,2.355,2.79,2.985,3.02,3.19,3.37,3.495,3.575,3.61,3.62,3.62,3.625,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-10,,0.285,0.595,1.015,1.5,1.875,2.325,2.77,2.945,2.985,3.175,3.34,3.47,3.56,3.6,3.62,3.625,3.63,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-11,,0.285,0.575,0.95,1.39,1.765,2.195,2.655,2.85,2.885,3.06,3.24,3.38,3.465,3.515,3.555,3.56,3.565,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-12,,0.285,0.58,0.97,1.41,1.77,2.18,2.615,2.805,2.835,3.005,3.185,3.33,3.415,3.455,3.48,3.48,3.48,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-13,,0.285,0.57,0.935,1.365,1.71,2.13,2.555,2.73,2.755,2.9,3.08,3.225,3.31,3.35,3.375,3.375,3.375,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-16,,0.28,0.565,0.91,1.315,1.65,2.04,2.44,2.635,2.675,2.86,3.04,3.13,3.225,3.265,3.29,3.29,3.29,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-17,,0.285,0.565,0.915,1.335,1.65,2.04,2.445,2.65,2.69,2.88,3.03,3.155,3.255,3.295,3.32,3.32,3.32,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-18,,0.285,0.59,0.99,1.415,1.72,2.11,2.505,2.715,2.755,2.95,3.11,3.235,3.335,3.375,3.4,3.4,3.4,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,,0.285,0.575,0.97,1.425,1.72,2.095,2.5,2.715,2.765,2.97,3.13,3.255,3.355,3.395,3.42,3.42,3.42,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-20,,0.285,0.55,0.905,1.335,1.625,1.985,2.385,2.605,2.655,2.865,3.03,3.17,3.29,3.33,3.355,3.355,3.355,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-23,,0.285,0.55,0.9,1.295,1.575,1.905,2.275,2.52,2.56,2.79,2.955,3.095,3.215,3.255,3.28,3.28,3.28,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-24,,0.285,0.56,0.895,1.31,1.59,1.93,2.305,2.53,2.575,2.8,2.965,3.105,3.225,3.265,3.29,3.29,3.29,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25,,0.285,0.565,0.895,1.305,1.59,1.93,2.29,2.515,2.565,2.8,2.965,3.105,3.225,3.265,3.29,3.29,3.29,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-26,,0.285,0.57,0.92,1.305,1.58,1.905,2.27,2.465,2.515,2.745,2.9,3.02,3.135,3.16,3.165,3.165,3.165,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-27,,0.285,0.58,0.93,1.325,1.61,1.94,2.31,2.51,2.555,2.765,2.92,3.04,3.155,3.18,3.185,3.185,3.185,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-30,,0.285,0.585,0.945,1.35,1.635,1.975,2.335,2.53,2.58,2.79,2.945,3.065,3.18,3.205,3.21,3.21,3.21,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-31,,0.285,0.585,0.945,1.35,1.635,1.975,2.335,2.53,2.58,2.79,2.945,3.065,3.18,3.205,3.21,3.21,3.21,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01,,0.285,0.59,0.955,1.36,1.665,2.01,2.4,2.62,2.67,2.9,3.065,3.215,3.345,3.37,3.375,3.375,3.375,3.37,,,,,,,,,,,,,,,,,,,,,,,
2022-06-02,,,0.585,0.96,1.37,1.68,2.035,2.435,2.665,2.715,2.945,3.11,3.28,3.435,3.46,3.465,3.465,3.465,3.46,3.46,,,,,,,,,,,,,,,,,,,,,,
2022-06-03,,,0.59,0.96,1.395,1.72,2.11,2.54,2.75,2.805,3.055,3.22,3.39,3.545,3.57,3.575,3.575,3.575,3.57,3.57,,,,,,,,,,,,,,,,,,,,,,
2022-06-06,,,0.57,0.955,1.38,1.705,2.085,2.495,2.725,2.795,3.045,3.21,3.38,3.535,3.56,3.565,3.565,3.565,3.56,3.56,,,,,,,,,,,,,,,,,,,,,,
2022-06-07,,,0.56,0.92,1.335,1.65,2.03,2.43,2.695,2.76,3.01,3.18,3.35,3.505,3.53,3.535,3.535,3.535,3.535,3.535,,,,,,,,,,,,,,,,,,,,,,
2022-06-08,,,0.69,1.155,1.625,1.98,2.36,2.76,3.105,3.16,3.41,3.58,3.75,3.905,3.93,3.935,3.935,3.935,3.935,3.935,,,,,,,,,,,,,,,,,,,,,,
2022-06-09,,,0.685,1.145,1.63,1.975,2.38,2.83,3.04,3.105,3.35,3.52,3.675,3.78,3.79,3.795,3.79,3.79,3.79,3.76,,,,,,,,,,,,,,,,,,,,,,
2022-06-10,,,0.69,1.155,1.63,1.965,2.355,2.795,3.025,3.085,3.31,3.46,3.59,3.68,3.69,3.695,3.69,3.69,3.69,3.65,,,,,,,,,,,,,,,,,,,,,,
2022-06-13,,,0.695,1.17,1.655,2.005,2.395,2.815,3.05,3.105,3.335,3.485,3.615,3.705,3.715,3.715,3.71,3.71,3.71,3.67,,,,,,,,,,,,,,,,,,,,,,
2022-06-14,,,0.695,1.17,1.655,2.005,2.395,2.815,3.05,3.105,3.335,3.485,3.615,3.705,3.715,3.715,3.71,3.71,3.71,3.67,,,,,,,,,,,,,,,,,,,,,,
2022-06-15,,,0.695,1.275,1.86,2.255,2.775,3.3,3.57,3.64,3.855,4.005,4.125,4.18,4.19,4.19,4.185,4.185,4.185,4.145,,,,,,,,,,,,,,,,,,,,,,
2022-06-16,,,0.7,1.325,1.96,2.405,2.92,3.465,3.83,3.895,4.175,4.325,4.385,4.425,4.43,4.43,4.425,4.425,4.41,4.37,,,,,,,,,,,,,,,,,,,,,,
2022-06-17,,,0.7,1.305,1.92,2.345,2.86,3.385,3.71,3.8,4.075,4.225,4.27,4.29,4.295,4.295,4.29,4.285,4.255,4.215,,,,,,,,,,,,,,,,,,,,,,
2022-06-20,,,0.7,1.3,1.92,2.365,2.885,3.44,3.785,3.87,4.155,4.305,4.35,4.37,4.375,4.375,4.37,4.365,4.335,4.295,,,,,,,,,,,,,,,,,,,,,,
2022-06-21,,,0.695,1.285,1.895,2.31,2.825,3.35,3.72,3.805,4.105,4.255,4.295,4.315,4.32,4.32,4.315,4.31,4.28,4.24,,,,,,,,,,,,,,,,,,,,,,
2022-06-22,,,0.695,1.21,1.78,2.18,2.64,3.13,3.485,3.57,3.845,4.03,4.07,4.1,4.135,4.165,4.165,4.165,4.135,4.105,,,,,,,,,,,,,,,,,,,,,,
2022-06-23,,,0.695,1.2,1.73,2.09,2.52,2.995,3.325,3.405,3.715,3.9,3.94,3.97,4.005,4.045,4.05,4.05,4.03,4.005,,,,,,,,,,,,,,,,,,,,,,
2022-06-24,,,0.695,1.2,1.695,2.045,2.45,2.9,3.24,3.315,3.605,3.79,3.83,3.86,3.895,3.935,3.94,3.94,3.92,3.895,,,,,,,,,,,,,,,,,,,,,,
2022-06-27,,,0.695,1.18,1.675,2.005,2.395,2.815,3.11,3.19,3.48,3.665,3.705,3.735,3.77,3.81,3.815,3.815,3.795,3.77,,,,,,,,,,,,,,,,,,,,,,
2022-06-28,,,0.69,1.195,1.685,2.02,2.445,2.865,3.2,3.28,3.555,3.735,3.775,3.805,3.84,3.88,3.885,3.885,3.865,3.84,,,,,,,,,,,,,,,,,,,,,,
2022-06-29,,,0.69,1.2,1.695,2.035,2.445,2.87,3.19,3.27,3.53,3.7,3.74,3.77,3.805,3.845,3.845,3.845,3.815,3.785,,,,,,,,,,,,,,,,,,,,,,
2022-06-30,,,0.69,1.195,1.685,2.015,2.415,2.835,3.14,3.225,3.48,3.64,3.68,3.71,3.745,3.785,3.785,3.775,3.745,3.715,,,,,,,,,,,,,,,,,,,,,,
2022-07-01,,,0.69,1.185,1.685,2.015,2.395,2.82,3.13,3.205,3.43,3.59,3.63,3.66,3.695,3.735,3.735,3.725,3.695,3.665,,,,,,,,,,,,,,,,,,,,,,
2022-07-05,,,,1.185,1.655,1.98,2.345,2.74,3.035,3.115,3.335,3.49,3.525,3.54,3.545,3.535,3.505,3.48,3.44,3.41,,,,,,,,,,,,,,,,,,,,,,
2022-07-06,,,,1.225,1.71,2.015,2.37,2.765,3.02,3.09,3.32,3.46,3.495,3.505,3.505,3.48,3.445,3.42,3.38,3.35,,,,,,,,,,,,,,,,,,,,,,
2022-07-08,,,,1.225,1.715,2.035,2.405,2.785,3.05,3.11,3.33,3.435,3.47,3.48,3.47,3.435,3.395,3.365,3.335,3.315,,,,,,,,,,,,,,,,,,,,,,
2022-07-11,,,,1.225,1.715,2.035,2.405,2.785,3.05,3.11,3.33,3.435,3.47,3.48,3.47,3.435,3.395,3.365,3.335,3.315,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,,,,1.225,1.73,2.065,2.445,2.865,3.14,3.21,3.42,3.54,3.575,3.585,3.575,3.56,3.535,3.515,3.49,3.475,,,,,,,,,,,,,,,,,,,,,,
2022-07-13,,,,1.225,1.73,2.045,2.405,2.785,3.045,3.112,3.315,3.44,3.475,3.485,3.475,3.46,3.435,3.41,3.38,3.36,,,,,,,,,,,,,,,,,,,,,,
2022-07-14,,,,1.225,1.72,2.035,2.375,2.77,2.995,3.065,3.265,3.39,3.425,3.435,3.425,3.41,3.385,3.36,3.33,3.31,,,,,,,,,,,,,,,,,,,,,,
2022-07-15,,,,1.225,1.875,2.305,2.675,3.125,3.295,3.365,3.565,3.69,3.725,3.735,3.725,3.71,3.685,3.66,3.63,3.61,,,,,,,,,,,,,,,,,,,,,,
2022-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-25,,,,1.225,1.82,2.265,2.695,3.165,3.365,3.415,3.605,3.67,3.675,3.675,3.655,3.635,3.61,3.585,3.54,3.505,3.455,,,,,,,,,,,,,,,,,,,,,
2022-07-26,,,,1.225,1.82,2.23,2.65,3.105,3.315,3.375,3.55,3.615,3.62,3.615,3.595,3.575,3.55,3.52,3.47,3.43,3.38,,,,,,,,,,,,,,,,,,,,,
2022-07-27,,,,1.225,1.845,2.26,2.7,3.165,3.365,3.42,3.56,3.62,3.625,3.62,3.6,3.58,3.545,3.51,3.46,3.42,3.36,,,,,,,,,,,,,,,,,,,,,
2022-07-28,,,,1.225,1.76,2.13,2.545,2.97,3.185,3.23,3.38,3.44,3.445,3.44,3.42,3.4,3.365,3.33,3.28,3.24,3.18,,,,,,,,,,,,,,,,,,,,,
2022-07-29,,,,1.225,1.765,2.115,2.5,2.905,3.11,3.155,3.305,3.365,3.37,3.36,3.34,3.32,3.285,3.25,3.2,3.16,3.1,,,,,,,,,,,,,,,,,,,,,
2022-08-01,,,,1.225,1.75,2.08,2.4,2.755,2.955,3.0,3.175,3.235,3.21,3.19,3.17,3.15,3.115,3.08,3.02,2.97,2.91,,,,,,,,,,,,,,,,,,,,,
2022-08-02,,,,,1.76,2.13,2.47,2.82,3.06,3.11,3.255,3.315,3.29,3.27,3.25,3.23,3.195,3.16,3.1,3.05,2.99,,,,,,,,,,,,,,,,,,,,,
2022-08-03,,,,,1.775,2.08,2.4,2.755,2.955,2.995,3.14,3.2,3.175,3.155,3.135,3.115,3.08,3.04,2.98,2.93,2.87,,,,,,,,,,,,,,,,,,,,,
2022-08-04,,,,,1.77,2.11,2.425,2.805,3.02,3.06,3.225,3.275,3.25,3.23,3.21,3.2,3.185,3.145,3.095,3.05,2.995,,,,,,,,,,,,,,,,,,,,,
2022-08-09,,,,,1.775,2.16,2.535,2.95,3.205,3.28,3.425,3.5,3.475,3.46,3.46,3.46,3.45,3.42,3.375,3.34,3.29,,,,,,,,,,,,,,,,,,,,,
2022-08-10,,,,,1.775,2.155,2.535,2.955,3.205,3.28,3.43,3.505,3.48,3.465,3.465,3.465,3.455,3.425,3.38,3.345,3.295,,,,,,,,,,,,,,,,,,,,,
2022-08-11,,,,,1.775,2.155,2.555,2.98,3.265,3.325,3.505,3.58,3.555,3.54,3.54,3.54,3.53,3.5,3.455,3.42,3.37,,,,,,,,,,,,,,,,,,,,,
2022-08-12,,,,,1.775,2.155,2.54,2.975,3.26,3.325,3.51,3.59,3.575,3.575,3.575,3.575,3.575,3.545,3.5,3.465,3.415,,,,,,,,,,,,,,,,,,,,,
2022-08-15,,,,,1.775,2.155,2.545,2.975,3.285,3.36,3.55,3.63,3.69,3.72,3.71,3.71,3.71,3.68,3.635,3.6,3.55,,,,,,,,,,,,,,,,,,,,,
2022-08-16,,,,,1.775,2.15,2.535,2.955,3.255,3.34,3.52,3.625,3.66,3.685,3.68,3.68,3.68,3.65,3.605,3.57,3.52,,,,,,,,,,,,,,,,,,,,,
2022-08-23,,,,,,2.17,2.535,2.915,3.18,3.25,3.42,3.575,3.66,3.715,3.74,3.745,3.745,3.745,3.72,3.685,,,,,,,,,,,,,,,,,,,,,,
2022-08-25,,,,,,2.175,2.545,2.91,3.17,3.235,3.435,3.6,3.68,3.735,3.77,3.805,3.805,3.81,3.77,3.735,3.685,,,,,,,,,,,,,,,,,,,,,
2022-08-26,,,,,,2.175,2.555,2.935,3.195,3.26,3.445,3.62,3.71,3.765,3.805,3.85,3.855,3.86,3.82,3.785,3.74,,,,,,,,,,,,,,,,,,,,,
2022-08-29,,,,,1.775,2.175,2.555,2.935,3.19,3.25,3.43,3.585,3.67,3.72,3.76,3.795,3.805,3.78,3.74,3.705,3.66,,,,,,,,,,,,,,,,,,,,,
2022-08-30,,,,,1.775,2.185,2.61,3.015,3.275,3.345,3.55,3.715,3.82,3.895,3.95,4.005,4.01,4.01,3.97,3.935,3.88,,,,,,,,,,,,,,,,,,,,,
2022-09-01,,,,,,2.18,2.59,2.975,3.2,3.265,3.44,3.58,3.685,3.76,3.8,3.835,3.835,3.805,3.765,3.735,3.69,3.68,,,,,,,,,,,,,,,,,,,,
2022-09-02,,,,,,2.18,2.59,3.01,3.235,3.295,3.49,3.64,3.745,3.81,3.86,3.91,3.915,3.88,3.84,3.805,3.755,3.75,,,,,,,,,,,,,,,,,,,,
2022-09-05,,,,,,2.18,2.59,2.965,3.205,3.265,3.47,3.615,3.71,3.775,3.805,3.84,3.84,3.815,3.785,3.755,3.72,3.71,3.69,,,,,,,,,,,,,,,,,,,
2022-09-06,,,,,,2.18,2.59,2.965,3.205,3.265,3.47,3.615,3.71,3.775,3.805,3.84,3.84,3.815,3.785,3.755,3.72,3.71,3.69,,,,,,,,,,,,,,,,,,,
2022-09-07,,,,,,2.205,2.61,2.975,3.205,3.255,3.43,3.57,3.66,3.72,3.75,3.775,3.775,3.75,3.72,3.695,3.655,3.65,3.63,,,,,,,,,,,,,,,,,,,
2022-09-08,,,,,,2.205,2.605,2.95,3.17,3.225,3.405,3.555,3.655,3.7,3.74,3.765,3.765,3.745,3.72,3.7,3.68,3.675,3.67,,,,,,,,,,,,,,,,,,,
2022-09-09,,,,,,2.205,2.575,2.895,3.075,3.13,3.265,3.4,3.49,3.55,3.555,3.55,3.55,3.54,3.525,3.515,3.495,3.49,3.48,,,,,,,,,,,,,,,,,,,
2022-09-12,,,,,,2.205,2.59,2.91,3.115,3.165,3.295,3.425,3.525,3.575,3.58,3.58,3.57,3.555,3.535,3.515,3.485,3.48,3.47,,,,,,,,,,,,,,,,,,,
2022-09-14,,,,,,2.205,2.59,2.92,3.115,3.17,3.28,3.4,3.53,3.545,3.575,3.565,3.555,3.54,3.515,3.495,3.465,3.46,3.445,,,,,,,,,,,,,,,,,,,
2022-09-15,,,,,,2.205,2.64,3.025,3.24,3.295,3.43,3.585,3.705,3.735,3.73,3.735,3.72,3.71,3.68,3.655,3.615,3.61,3.59,,,,,,,,,,,,,,,,,,,
2022-09-16,,,,,,2.205,2.645,3.045,3.28,3.34,3.48,3.655,3.795,3.845,3.84,3.85,3.84,3.825,3.805,3.785,3.755,3.75,3.735,,,,,,,,,,,,,,,,,,,
2022-09-19,,,,,,2.205,2.67,3.065,3.31,3.37,3.53,3.725,3.87,3.92,3.915,3.925,3.91,3.89,3.87,3.855,3.82,3.81,3.79,,,,,,,,,,,,,,,,,,,
2022-09-20,,,,,,2.205,2.67,3.06,3.295,3.35,3.51,3.69,3.835,3.895,3.9,3.9,3.87,3.865,3.845,3.825,3.785,3.78,3.755,,,,,,,,,,,,,,,,,,,
2022-09-21,,,,,,2.205,2.675,3.05,3.27,3.33,3.48,3.66,3.8,3.86,3.865,3.85,3.835,3.82,3.8,3.78,3.74,3.73,3.71,,,,,,,,,,,,,,,,,,,
2022-09-22,,,,,,2.205,2.665,3.05,3.26,3.32,3.475,3.655,3.79,3.865,3.85,3.85,3.83,3.82,3.8,3.775,3.735,3.725,3.705,,,,,,,,,,,,,,,,,,,
2022-09-23,,,,,,2.205,2.665,3.05,3.26,3.32,3.475,3.655,3.79,3.865,3.85,3.85,3.83,3.82,3.8,3.775,3.735,3.725,3.705,,,,,,,,,,,,,,,,,,,
2022-09-26,,,,,,2.205,2.685,3.1,3.34,3.4,3.555,3.79,4.0,4.115,4.14,4.155,4.155,4.155,4.14,4.12,4.075,4.065,4.045,,,,,,,,,,,,,,,,,,,
2022-09-27,,,,,,2.205,2.71,3.13,3.38,3.45,3.635,3.87,4.1,4.29,4.31,4.325,4.325,4.325,4.31,4.29,4.245,4.235,4.215,,,,,,,,,,,,,,,,,,,
2022-09-28,,,,,,2.205,2.68,3.105,3.36,3.425,3.605,3.835,4.1,4.28,4.3,4.31,4.31,4.31,4.305,4.29,4.25,4.245,4.23,,,,,,,,,,,,,,,,,,,
2022-09-29,,,,,,2.205,2.68,3.095,3.345,3.405,3.58,3.81,4.045,4.22,4.24,4.24,4.24,4.24,4.23,4.22,4.2,4.2,4.195,,,,,,,,,,,,,,,,,,,
2022-09-30,,,,,,2.205,2.68,3.095,3.325,3.39,3.55,3.77,3.97,4.13,4.14,4.14,4.14,4.135,4.115,4.095,4.07,4.065,4.055,,,,,,,,,,,,,,,,,,,
2022-10-03,,,,,,2.205,2.695,3.09,3.325,3.385,3.535,3.75,3.965,4.09,4.1,4.1,4.095,4.08,4.065,4.05,4.03,4.025,4.015,,,,,,,,,,,,,,,,,,,
2022-10-04,,,,,,2.205,2.695,3.09,3.325,3.385,3.535,3.75,3.965,4.09,4.1,4.1,4.095,4.08,4.065,4.05,4.03,4.025,4.015,,,,,,,,,,,,,,,,,,,
2022-10-05,,,,,,,2.52,2.78,2.93,2.955,3.11,3.265,3.43,3.555,3.56,3.57,3.565,3.55,3.53,3.52,3.515,3.515,3.515,3.51,,,,,,,,,,,,,,,,,,
2022-10-06,,,,,,,2.52,2.78,2.935,2.97,3.095,3.25,3.415,3.535,3.54,3.55,3.545,3.53,3.53,3.54,3.535,3.535,3.535,3.53,,,,,,,,,,,,,,,,,,
2022-10-07,,,,,,,2.52,2.79,2.965,3.0,3.125,3.28,3.445,3.565,3.615,3.625,3.62,3.605,3.605,3.615,3.61,3.61,3.61,3.605,,,,,,,,,,,,,,,,,,
2022-10-10,,,,,,,2.52,2.8,2.98,3.015,3.185,3.41,3.615,3.74,3.765,3.785,3.8,3.815,3.83,3.835,3.835,3.815,3.82,3.8,,,,,,,,,,,,,,,,,,
2022-10-11,,,,,,,2.525,2.805,2.97,3.01,3.165,3.39,3.595,3.74,3.775,3.805,3.835,3.86,3.885,3.885,3.875,3.87,3.87,3.855,,,,,,,,,,,,,,,,,,
2022-10-12,,,,,,,2.525,2.795,2.975,3.015,3.16,3.375,3.595,3.755,3.81,3.885,3.92,3.95,3.98,3.98,3.97,3.97,3.97,3.955,,,,,,,,,,,,,,,,,,
2022-10-13,,,,,,,2.525,2.775,2.945,2.985,3.095,3.3,3.505,3.655,3.74,3.81,3.855,3.89,3.93,3.935,3.93,3.93,3.925,3.905,,,,,,,,,,,,,,,,,,
2022-10-14,,,,,,,2.525,2.765,2.905,2.94,3.06,3.25,3.46,3.61,3.695,3.765,3.81,3.845,3.895,3.9,3.9,3.9,3.915,3.895,,,,,,,,,,,,,,,,,,
2022-10-17,,,,,,,2.525,2.795,2.955,2.995,3.13,3.34,3.55,3.725,3.8,3.88,3.935,3.975,4.02,4.025,4.015,4.015,4.02,4.0,,,,,,,,,,,,,,,,,,
2022-10-18,,,,,,,2.525,2.795,2.96,3.0,3.12,3.325,3.55,3.74,3.805,3.875,3.93,3.97,4.015,4.02,4.01,4.01,4.015,3.995,,,,,,,,,,,,,,,,,,
2022-10-19,,,,,,,2.525,2.8,2.97,3.015,3.17,3.365,3.57,3.75,3.825,3.88,3.92,3.95,3.97,3.975,3.97,3.97,3.955,3.93,,,,,,,,,,,,,,,,,,
2022-10-20,,,,,,,2.525,2.82,3.025,3.07,3.23,3.44,3.66,3.84,3.905,3.975,4.02,4.045,4.07,4.075,4.065,4.065,4.05,4.02,,,,,,,,,,,,,,,,,,
2022-10-21,,,,,,,2.525,2.83,3.035,3.08,3.28,3.52,3.745,3.935,4.02,4.105,4.16,4.195,4.23,4.23,4.21,4.205,4.195,4.165,,,,,,,,,,,,,,,,,,
2022-10-24,,,,,,,2.525,2.835,3.045,3.095,3.285,3.53,3.785,4.02,4.15,4.235,4.3,4.345,4.385,4.39,4.375,4.37,4.365,4.34,,,,,,,,,,,,,,,,,,
2022-10-25,,,,,,,2.525,2.82,3.015,3.065,3.235,3.455,3.7,3.935,4.03,4.12,4.18,4.215,4.25,4.255,4.245,4.245,4.235,4.21,,,,,,,,,,,,,,,,,,
2022-10-26,,,,,,,2.525,2.82,3.015,3.065,3.235,3.45,3.69,3.9,4.01,4.105,4.16,4.19,4.215,4.215,4.195,4.19,4.175,4.145,,,,,,,,,,,,,,,,,,
2022-10-27,,,,,,,2.525,2.84,3.06,3.11,3.295,3.52,3.74,3.925,4.035,4.115,4.155,4.17,4.17,4.17,4.14,4.135,4.115,4.085,,,,,,,,,,,,,,,,,,
2022-10-28,,,,,,,2.525,2.84,3.06,3.11,3.295,3.52,3.74,3.925,4.035,4.115,4.155,4.17,4.17,4.17,4.14,4.135,4.115,4.085,,,,,,,,,,,,,,,,,,
2022-11-01,,,,,,,2.525,2.85,3.065,3.115,3.29,3.48,3.655,3.815,3.875,3.93,3.94,3.94,3.94,3.94,3.935,3.93,3.92,3.89,,,,,,,,,,,,,,,,,,
2022-11-02,,,,,,,,2.795,2.995,3.04,3.2,3.385,3.565,3.72,3.78,3.85,3.885,3.905,3.915,3.92,3.915,3.91,3.92,3.905,3.885,,,,,,,,,,,,,,,,,
