,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09
2022-11-03,,,,,,,,2.795,2.995,3.045,3.235,3.445,3.645,3.8,3.865,3.95,4.0,4.03,4.035,4.04,4.03,4.03,4.035,4.025,4.0,,,,,,,,,,,,,,,,,
2022-11-04,,,,,,,,2.795,3.005,3.05,3.24,3.47,3.69,3.86,3.955,4.05,4.105,4.13,4.135,4.135,4.13,4.125,4.135,4.125,4.095,,,,,,,,,,,,,,,,,
2022-11-07,,,,,,,,2.795,2.99,3.035,3.215,3.425,3.615,3.77,3.845,3.915,3.96,3.99,3.995,3.995,3.99,3.99,3.995,3.985,3.96,,,,,,,,,,,,,,,,,
2022-11-08,,,,,,,,2.795,2.985,3.025,3.205,3.415,3.61,3.785,3.855,3.915,3.955,3.985,4.01,4.015,4.01,4.005,4.015,4.005,3.98,,,,,,,,,,,,,,,,,
2022-11-09,,,,,,,,2.795,2.995,3.045,3.225,3.455,3.65,3.815,3.915,3.995,4.05,4.085,4.1,4.1,4.09,4.085,4.095,4.08,4.055,,,,,,,,,,,,,,,,,
2022-11-10,,,,,,,,2.795,2.99,3.035,3.215,3.43,3.61,3.775,3.85,3.92,3.975,4.0,4.015,4.015,4.01,4.01,4.015,4.0,3.975,,,,,,,,,,,,,,,,,
2022-11-11,,,,,,,,2.795,2.975,3.015,3.19,3.355,3.505,3.655,3.71,3.78,3.835,3.86,3.87,3.87,3.825,3.825,3.82,3.805,3.78,,,,,,,,,,,,,,,,,
2022-11-14,,,,,,,,2.795,2.96,3.0,3.16,3.32,3.455,3.59,3.635,3.69,3.735,3.765,3.77,3.77,3.765,3.765,3.755,3.74,3.78,,,,,,,,,,,,,,,,,
2022-11-15,,,,,,,,2.795,2.96,3.0,3.16,3.32,3.455,3.59,3.635,3.69,3.735,3.765,3.77,3.77,3.765,3.765,3.755,3.74,3.78,,,,,,,,,,,,,,,,,
2022-11-16,,,,,,,,2.795,2.975,3.015,3.19,3.36,3.515,3.65,3.72,3.79,3.845,3.88,3.9,3.9,3.885,3.88,3.875,3.855,3.835,,,,,,,,,,,,,,,,,
2022-11-17,,,,,,,,2.8,2.97,3.01,3.185,3.35,3.48,3.62,3.685,3.745,3.79,3.825,3.855,3.86,3.845,3.84,3.835,3.815,3.785,,,,,,,,,,,,,,,,,
2022-11-18,,,,,,,,2.8,2.98,3.025,3.19,3.345,3.45,3.57,3.625,3.675,3.72,3.76,3.775,3.78,3.77,3.77,3.755,3.725,3.685,,,,,,,,,,,,,,,,,
2022-11-21,,,,,,,,2.8,2.98,3.025,3.195,3.355,3.47,3.58,3.645,3.715,3.76,3.8,3.81,3.805,3.795,3.79,3.785,3.75,3.715,,,,,,,,,,,,,,,,,
2022-11-22,,,,,,,,2.8,2.985,3.02,3.195,3.345,3.46,3.575,3.63,3.695,3.75,3.79,3.805,3.81,3.795,3.79,3.785,3.765,3.73,,,,,,,,,,,,,,,,,
2022-11-23,,,,,,,,2.8,2.98,3.02,3.175,3.325,3.445,3.555,3.605,3.685,3.74,3.78,3.8,3.8,3.795,3.795,3.78,3.76,3.73,,,,,,,,,,,,,,,,,
2022-11-24,,,,,,,,2.8,2.99,3.035,3.2,3.37,3.51,3.625,3.705,3.78,3.84,3.885,3.91,3.915,3.91,3.905,3.89,3.855,3.82,,,,,,,,,,,,,,,,,
2022-11-25,,,,,,,,2.8,2.99,3.035,3.205,3.38,3.515,3.62,3.71,3.78,3.835,3.875,3.9,3.9,3.885,3.88,3.86,3.825,3.785,,,,,,,,,,,,,,,,,
2022-11-28,,,,,,,,2.8,2.99,3.035,3.205,3.375,3.515,3.635,3.7,3.78,3.84,3.865,3.88,3.885,3.865,3.86,3.845,3.81,3.77,,,,,,,,,,,,,,,,,
2022-11-29,,,,,,,,2.8,2.985,3.025,3.17,3.335,3.438,3.55,3.63,3.705,3.755,3.785,3.81,3.81,3.795,3.79,3.775,3.745,3.71,,,,,,,,,,,,,,,,,
2022-11-30,,,,,,,,2.8,2.98,3.02,3.17,3.33,3.445,3.56,3.64,3.71,3.76,3.795,3.83,3.835,3.815,3.815,3.805,3.78,3.745,,,,,,,,,,,,,,,,,
2022-12-01,,,,,,,,2.8,2.97,3.005,3.14,3.29,3.395,3.515,3.575,3.638,3.68,3.71,3.735,3.74,3.72,3.715,3.705,3.68,3.65,,,,,,,,,,,,,,,,,
2022-12-05,,,,,,,,,2.96,2.995,3.105,3.21,3.295,3.385,3.44,3.495,3.54,3.565,3.585,3.585,3.565,3.56,3.545,3.515,3.48,,,,,,,,,,,,,,,,,
2022-12-06,,,,,,,,,2.96,2.995,3.1,3.2,3.27,3.345,3.41,3.475,3.525,3.55,3.565,3.57,3.545,3.54,3.525,3.5,3.465,,,,,,,,,,,,,,,,,
2022-12-07,,,,,,,,,3.01,3.055,3.18,3.29,3.37,3.46,3.515,3.58,3.62,3.64,3.655,3.655,3.635,3.63,3.62,3.59,3.55,,,,,,,,,,,,,,,,,
2022-12-08,,,,,,,,,3.005,3.05,3.18,3.305,3.385,3.46,3.515,3.58,3.635,3.65,3.655,3.655,3.64,3.635,3.625,3.59,3.545,,,,,,,,,,,,,,,,,
2022-12-09,,,,,,,,,3.005,3.05,3.18,3.3,3.38,3.465,3.515,3.59,3.635,3.63,3.63,3.63,3.615,3.61,3.59,3.555,3.515,,,,,,,,,,,,,,,,,
2022-12-12,,,,,,,,,3.005,3.05,3.175,3.285,3.37,3.445,3.51,3.57,3.6,3.605,3.6,3.6,3.59,3.585,3.565,3.53,3.49,,,,,,,,,,,,,,,,,
2022-12-13,,,,,,,,,3.005,3.055,3.18,3.29,3.375,3.46,3.52,3.585,3.635,3.625,3.625,3.625,3.605,3.6,3.58,3.545,3.505,,,,,,,,,,,,,,,,,
2022-12-14,,,,,,,,,3.005,3.055,3.18,3.295,3.375,3.46,3.53,3.595,3.65,3.645,3.645,3.64,3.61,3.605,3.59,3.56,3.53,,,,,,,,,,,,,,,,,
2022-12-15,,,,,,,,,3.005,3.05,3.18,3.29,3.365,3.45,3.52,3.585,3.625,3.625,3.625,3.61,3.585,3.58,3.56,3.53,3.49,,,,,,,,,,,,,,,,,
2022-12-16,,,,,,,,,3.005,3.05,3.205,3.335,3.44,3.545,3.62,3.7,3.76,3.76,3.76,3.76,3.72,3.71,3.685,3.645,3.6,,,,,,,,,,,,,,,,,
2022-12-19,,,,,,,,,3.005,3.05,3.205,3.335,3.44,3.545,3.62,3.7,3.76,3.76,3.76,3.76,3.72,3.71,3.685,3.645,3.6,,,,,,,,,,,,,,,,,
2022-12-20,,,,,,,,,3.005,3.05,3.2,3.34,3.45,3.55,3.615,3.685,3.73,3.73,3.73,3.73,3.7,3.695,3.675,3.645,3.615,3.59,,,,,,,,,,,,,,,,
2022-12-21,,,,,,,,,3.005,3.05,3.2,3.36,3.46,3.565,3.63,3.705,3.76,3.77,3.77,3.77,3.745,3.74,3.73,3.71,3.69,3.675,,,,,,,,,,,,,,,,
2022-12-22,,,,,,,,,3.005,3.05,3.19,3.32,3.42,3.52,3.58,3.65,3.695,3.7,3.7,3.695,3.67,3.665,3.65,3.625,3.595,3.575,,,,,,,,,,,,,,,,
2022-12-23,,,,,,,,,3.01,3.05,3.195,3.34,3.438,3.54,3.62,3.705,3.765,3.775,3.775,3.78,3.755,3.75,3.735,3.715,3.69,3.67,,,,,,,,,,,,,,,,
2022-12-26,,,,,,,,,3.01,3.05,3.195,3.35,3.45,3.565,3.65,3.745,3.81,3.825,3.83,3.83,3.81,3.805,3.79,3.77,3.745,3.725,,,,,,,,,,,,,,,,
2022-12-27,,,,,,,,,3.01,3.05,3.195,3.35,3.45,3.565,3.65,3.745,3.81,3.825,3.83,3.83,3.81,3.805,3.79,3.77,3.745,3.725,,,,,,,,,,,,,,,,
2022-12-28,,,,,,,,,3.01,3.05,3.195,3.35,3.45,3.565,3.65,3.745,3.81,3.825,3.83,3.83,3.81,3.805,3.79,3.77,3.745,3.725,,,,,,,,,,,,,,,,
2023-01-02,,,,,,,,,3.01,3.05,3.19,3.355,3.485,3.615,3.73,3.85,3.935,3.98,3.985,3.985,4.015,4.01,4.02,4.0,3.975,3.955,,,,,,,,,,,,,,,,
2023-01-03,,,,,,,,,3.01,3.05,3.19,3.355,3.485,3.615,3.73,3.85,3.935,3.98,3.985,3.985,4.015,4.01,4.02,4.0,3.975,3.955,,,,,,,,,,,,,,,,
2023-01-04,,,,,,,,,,3.055,3.185,3.335,3.455,3.585,3.69,3.815,3.9,3.965,3.975,3.975,3.98,3.98,3.97,3.93,3.9,3.87,3.835,,,,,,,,,,,,,,,
2023-01-05,,,,,,,,,,3.055,3.195,3.345,3.47,3.605,3.695,3.8,3.9,3.935,3.945,3.945,3.915,3.91,3.895,3.865,3.83,3.805,3.77,,,,,,,,,,,,,,,
2023-01-06,,,,,,,,,,3.06,3.195,3.355,3.485,3.605,3.695,3.81,3.89,3.935,3.94,3.94,3.93,3.92,3.9,3.87,3.83,3.805,3.77,,,,,,,,,,,,,,,
2023-01-09,,,,,,,,,,3.06,3.215,3.375,3.51,3.63,3.725,3.84,3.92,3.97,3.98,3.98,3.965,3.96,3.94,3.91,3.875,3.855,3.82,,,,,,,,,,,,,,,
2023-01-10,,,,,,,,,,3.06,3.21,3.375,3.49,3.595,3.685,3.78,3.855,3.905,3.91,3.91,3.875,3.87,3.845,3.805,3.76,3.725,3.68,,,,,,,,,,,,,,,
2023-01-11,,,,,,,,,,3.065,3.21,3.375,3.495,3.595,3.665,3.755,3.84,3.865,3.865,3.87,3.84,3.83,3.805,3.765,3.715,3.68,3.59,,,,,,,,,,,,,,,
2023-01-12,,,,,,,,,,3.065,3.215,3.38,3.49,3.59,3.68,3.745,3.825,3.85,3.85,3.85,3.805,3.8,3.775,3.73,3.685,3.65,3.6,,,,,,,,,,,,,,,
2023-01-13,,,,,,,,,,3.206,3.215,3.37,3.465,3.555,3.625,3.7,3.76,3.765,3.765,3.765,3.74,3.73,3.7,3.65,3.6,3.565,3.52,,,,,,,,,,,,,,,
2023-01-16,,,,,,,,,,3.206,3.215,3.37,3.465,3.54,3.605,3.67,3.73,3.735,3.735,3.729,3.685,3.68,3.655,3.605,3.565,3.535,3.495,,,,,,,,,,,,,,,
2023-01-17,,,,,,,,,,3.206,3.22,3.375,3.475,3.555,3.6,3.68,3.73,3.735,3.735,3.735,3.7,3.695,3.67,3.63,3.585,3.555,3.51,,,,,,,,,,,,,,,
2023-01-19,,,,,,,,,,3.206,3.215,3.365,3.455,3.55,3.61,3.68,3.73,3.735,3.735,3.735,3.695,3.69,3.66,3.615,3.565,3.53,3.48,,,,,,,,,,,,,,,
2023-01-20,,,,,,,,,,3.206,3.19,3.305,3.236,3.43,3.465,3.52,3.53,3.53,3.525,3.529,3.475,3.465,3.43,3.38,3.325,3.28,3.292,,,,,,,,,,,,,,,
2023-01-23,,,,,,,,,,3.206,3.21,3.33,3.39,3.445,3.48,3.51,3.53,3.54,3.515,3.51,3.475,3.47,3.44,3.39,3.345,3.305,3.255,,,,,,,,,,,,,,,
2023-01-25,,,,,,,,,,3.206,3.2,3.32,3.39,3.47,3.5,3.535,3.57,3.57,3.57,3.55,3.505,3.495,3.47,3.43,3.38,3.345,3.23,,,,,,,,,,,,,,,
2023-01-26,,,,,,,,,,3.206,3.24,3.43,3.54,3.63,3.68,3.73,3.74,3.74,3.74,3.72,3.675,3.665,3.635,3.59,3.54,3.505,3.455,,,,,,,,,,,,,,,
2023-01-27,,,,,,,,,,3.206,3.24,3.43,3.54,3.63,3.68,3.73,3.74,3.74,3.74,3.72,3.675,3.665,3.635,3.59,3.54,3.505,3.455,,,,,,,,,,,,,,,
2023-01-30,,,,,,,,,,3.206,3.24,3.44,3.575,3.685,3.735,3.78,3.78,3.79,3.785,3.76,3.715,3.705,3.68,3.64,3.59,3.55,3.505,,,,,,,,,,,,,,,
2023-02-01,,,,,,,,,,3.206,3.24,3.49,3.545,3.65,3.71,3.74,3.75,3.755,3.745,3.72,3.675,3.67,3.64,3.6,3.55,3.515,3.465,,,,,,,,,,,,,,,
2023-02-03,,,,,,,,,,,3.24,3.41,3.52,3.63,3.675,3.715,3.72,3.71,3.69,3.66,3.62,3.61,3.58,3.535,3.485,3.445,3.4,3.35,,,,,,,,,,,,,,
2023-02-06,,,,,,,,,,,3.24,3.4,3.48,3.565,3.6,3.63,3.62,3.625,3.585,3.55,3.5,3.49,3.455,3.41,3.355,3.315,3.265,3.215,,,,,,,,,,,,,,
2023-02-07,,,,,,,,,,,3.25,3.475,3.66,3.8,3.855,3.9,3.93,3.92,3.885,3.845,3.795,3.785,3.75,3.71,3.655,3.615,3.56,3.505,,,,,,,,,,,,,,
2023-02-08,,,,,,,,,,,3.25,3.475,3.66,3.8,3.855,3.9,3.93,3.92,3.885,3.845,3.795,3.785,3.75,3.71,3.655,3.615,3.56,3.505,,,,,,,,,,,,,,
2023-02-09,,,,,,,,,,,3.25,3.475,3.67,3.825,3.895,3.935,3.96,3.965,3.93,3.895,3.84,3.83,3.8,3.745,3.69,3.65,3.595,3.54,,,,,,,,,,,,,,
2023-02-10,,,,,,,,,,,3.255,3.485,3.695,3.87,3.95,4.005,4.03,4.015,3.99,3.96,3.915,3.905,3.87,3.82,3.765,3.72,3.67,3.615,,,,,,,,,,,,,,
2023-02-13,,,,,,,,,,,3.255,3.495,3.715,3.905,4.0,4.09,4.135,4.11,4.08,4.06,4.01,4.0,3.965,3.915,3.86,3.82,3.765,3.71,,,,,,,,,,,,,,
2023-02-14,,,,,,,,,,,3.255,3.495,3.72,3.935,4.03,4.105,4.135,4.13,4.13,4.105,4.075,4.065,4.04,3.99,3.935,3.895,3.84,3.785,,,,,,,,,,,,,,
2023-02-15,,,,,,,,,,,3.255,3.495,3.705,3.895,4.005,4.07,4.11,4.105,4.105,4.095,4.06,4.05,4.025,3.975,3.92,3.88,3.825,3.77,,,,,,,,,,,,,,
2023-02-16,,,,,,,,,,,3.255,3.495,3.705,3.91,4.005,4.075,4.125,4.145,4.145,4.14,4.115,4.105,4.075,4.03,3.97,3.925,3.86,3.795,,,,,,,,,,,,,,
2023-02-17,,,,,,,,,,,3.255,3.485,3.675,3.845,3.94,4.03,4.095,4.105,4.105,4.09,4.07,4.065,4.045,4.0,3.94,3.9,3.84,3.785,,,,,,,,,,,,,,
2023-02-20,,,,,,,,,,,3.255,3.495,3.7,3.88,3.98,4.06,4.13,4.165,4.17,4.155,4.12,4.115,4.095,4.045,3.99,3.95,3.89,3.83,,,,,,,,,,,,,,
2023-02-21,,,,,,,,,,,3.255,3.495,3.695,3.87,3.99,4.085,4.175,4.19,4.19,4.18,4.16,4.155,4.13,4.08,4.02,3.975,3.91,3.85,,,,,,,,,,,,,,
2023-02-22,,,,,,,,,,,3.255,3.5,3.725,3.925,4.04,4.135,4.23,4.25,4.265,4.26,4.23,4.22,4.2,4.15,4.09,4.05,3.99,3.935,,,,,,,,,,,,,,
2023-02-23,,,,,,,,,,,3.255,3.5,3.715,3.905,4.015,4.115,4.21,4.215,4.215,4.205,4.185,4.18,4.165,4.12,4.07,4.03,3.98,3.925,,,,,,,,,,,,,,
2023-02-24,,,,,,,,,,,3.255,3.505,3.725,3.915,4.03,4.135,4.215,4.24,4.245,4.25,4.23,4.225,4.195,4.16,4.11,4.065,4.01,3.95,,,,,,,,,,,,,,
2023-02-27,,,,,,,,,,,3.255,3.505,3.73,3.92,4.03,4.135,4.215,4.245,4.245,4.245,4.225,4.22,4.195,4.15,4.095,4.05,3.99,3.93,,,,,,,,,,,,,,
2023-02-28,,,,,,,,,,,3.255,3.505,3.73,3.935,4.045,4.145,4.24,4.265,4.275,4.275,4.255,4.25,4.22,4.19,4.14,4.095,4.035,3.97,,,,,,,,,,,,,,
2023-03-01,,,,,,,,,,,3.255,3.505,3.73,3.935,4.045,4.145,4.24,4.265,4.275,4.275,4.255,4.25,4.22,4.19,4.14,4.095,4.035,3.97,,,,,,,,,,,,,,
2023-03-02,,,,,,,,,,,,3.495,3.695,3.885,3.99,4.08,4.145,4.175,4.18,4.17,4.145,4.145,4.115,4.075,4.03,3.99,3.93,3.865,3.815,,,,,,,,,,,,,
2023-03-03,,,,,,,,,,,,3.495,3.695,3.875,3.975,4.07,4.15,4.18,4.185,4.175,4.15,4.15,4.12,4.08,4.035,3.995,3.935,3.87,3.82,,,,,,,,,,,,,
2023-03-06,,,,,,,,,,,,3.495,3.695,3.875,3.975,4.07,4.15,4.18,4.185,4.175,4.15,4.15,4.12,4.08,4.035,3.995,3.935,3.87,3.82,,,,,,,,,,,,,
2023-03-07,,,,,,,,,,,,3.51,3.685,3.815,3.9,3.965,3.975,4.005,4.01,4.01,3.955,3.955,3.93,3.905,3.855,3.815,3.765,3.71,3.665,,,,,,,,,,,,,
2023-03-08,,,,,,,,,,,,3.51,3.685,3.815,3.9,3.965,3.975,4.005,4.01,4.01,3.955,3.955,3.93,3.905,3.855,3.815,3.765,3.71,3.665,,,,,,,,,,,,,
2023-03-09,,,,,,,,,,,,3.51,3.69,3.825,3.9,3.985,4.045,4.06,4.055,4.05,4.015,4.01,3.99,3.95,3.905,3.87,3.825,3.775,3.73,,,,,,,,,,,,,
2023-03-10,,,,,,,,,,,,3.51,3.685,3.81,3.886,3.96,4.02,4.085,4.035,4.025,3.995,4.0,3.975,3.935,3.885,3.85,3.805,3.76,3.715,,,,,,,,,,,,,
2023-03-13,,,,,,,,,,,,3.51,3.665,3.785,3.85,3.905,3.945,3.965,3.965,3.955,3.91,3.905,3.88,3.84,3.795,3.76,3.71,3.66,3.625,,,,,,,,,,,,,
2023-03-14,,,,,,,,,,,,3.5,3.56,3.56,3.58,3.55,3.505,3.495,3.495,3.485,3.44,3.435,3.41,3.39,3.39,3.365,3.36,3.36,3.35,,,,,,,,,,,,,
2023-03-15,,,,,,,,,,,,3.5,3.56,3.56,3.58,3.55,3.505,3.495,3.495,3.485,3.44,3.435,3.41,3.39,3.39,3.365,3.36,3.36,3.35,,,,,,,,,,,,,
2023-03-16,,,,,,,,,,,,3.505,3.6,3.655,3.655,3.635,3.625,3.615,3.625,3.615,3.57,3.565,3.54,3.52,3.515,3.49,3.47,3.44,3.42,,,,,,,,,,,,,
2023-03-17,,,,,,,,,,,,3.5,3.655,3.485,3.415,3.28,3.175,3.165,3.175,3.165,3.17,3.17,3.17,3.15,3.145,3.12,3.1,3.07,3.05,,,,,,,,,,,,,
2023-03-20,,,,,,,,,,,,3.505,3.585,3.6,3.58,3.535,3.475,3.465,3.475,3.465,3.465,3.46,3.45,3.43,3.405,3.38,3.36,3.33,3.31,,,,,,,,,,,,,
2023-03-21,,,,,,,,,,,,3.505,3.53,3.485,3.41,3.275,3.19,3.185,3.195,3.185,3.175,3.17,3.16,3.14,3.115,3.09,3.07,3.04,3.02,,,,,,,,,,,,,
2023-03-22,,,,,,,,,,,,3.5,3.55,3.525,3.44,3.315,3.19,3.185,3.195,3.185,3.175,3.17,3.155,3.135,3.11,3.085,3.065,3.035,3.015,,,,,,,,,,,,,
2023-03-23,,,,,,,,,,,,3.505,3.575,3.61,3.585,3.495,3.405,3.4,3.41,3.4,3.39,3.385,3.37,3.35,3.325,3.3,3.28,3.25,3.23,,,,,,,,,,,,,
2023-03-24,,,,,,,,,,,,3.51,3.59,3.615,3.585,3.515,3.44,3.415,3.385,3.355,3.33,3.32,3.3,3.275,3.25,3.225,3.205,3.175,3.155,,,,,,,,,,,,,
2023-03-27,,,,,,,,,,,,3.51,3.585,3.61,3.555,3.47,3.395,3.37,3.32,3.29,3.24,3.23,3.205,3.18,3.155,3.13,3.11,3.08,3.06,,,,,,,,,,,,,
2023-03-28,,,,,,,,,,,,3.51,3.58,3.6,3.535,3.435,3.345,3.32,3.27,3.24,3.19,3.185,3.16,3.135,3.11,3.085,3.065,3.035,3.015,,,,,,,,,,,,,
2023-03-29,,,,,,,,,,,,3.51,3.59,3.63,3.585,3.505,3.43,3.405,3.355,3.325,3.275,3.27,3.245,3.22,3.195,3.17,3.15,3.12,3.105,,,,,,,,,,,,,
2023-03-30,,,,,,,,,,,,3.51,3.595,3.64,3.605,3.54,3.475,3.45,3.4,3.37,3.32,3.315,3.29,3.265,3.24,3.215,3.195,3.165,3.15,,,,,,,,,,,,,
2023-03-31,,,,,,,,,,,,3.51,3.605,3.665,3.655,3.615,3.56,3.535,3.49,3.46,3.415,3.41,3.385,3.36,3.335,3.31,3.29,3.26,3.245,,,,,,,,,,,,,
2023-04-03,,,,,,,,,,,,3.51,3.6,3.66,3.635,3.59,3.53,3.515,3.475,3.44,3.4,3.39,3.365,3.34,3.315,3.29,3.27,3.24,3.225,,,,,,,,,,,,,
2023-04-04,,,,,,,,,,,,,3.6,3.655,3.66,3.63,3.585,3.58,3.525,3.495,3.45,3.445,3.415,3.38,3.355,3.33,3.31,3.28,3.265,3.255,,,,,,,,,,,,
2023-04-05,,,,,,,,,,,,,3.565,3.62,3.61,3.62,3.565,3.545,3.495,3.455,3.4,3.39,3.36,3.315,3.29,3.26,3.225,3.19,3.165,3.13,,,,,,,,,,,,
2023-04-06,,,,,,,,,,,,,3.565,3.615,3.625,3.62,3.585,3.54,3.485,3.44,3.375,3.365,3.33,3.27,3.245,3.21,3.165,3.12,3.09,3.05,,,,,,,,,,,,
2023-04-07,,,,,,,,,,,,,3.565,3.61,3.615,3.6,3.555,3.525,3.46,3.41,3.35,3.335,3.29,3.235,3.21,3.17,3.125,3.08,3.05,3.01,,,,,,,,,,,,
2023-04-10,,,,,,,,,,,,,3.565,3.61,3.615,3.6,3.555,3.525,3.46,3.41,3.35,3.335,3.29,3.235,3.21,3.17,3.125,3.08,3.05,3.01,,,,,,,,,,,,
2023-04-11,,,,,,,,,,,,,3.565,3.61,3.615,3.6,3.555,3.525,3.46,3.41,3.35,3.335,3.29,3.235,3.21,3.17,3.125,3.08,3.05,3.01,,,,,,,,,,,,
2023-04-12,,,,,,,,,,,,,3.565,3.62,3.63,3.62,3.595,3.575,3.535,3.49,3.415,3.385,3.34,3.3,3.27,3.23,3.18,3.13,3.1,3.06,,,,,,,,,,,,
2023-04-13,,,,,,,,,,,,,3.565,3.615,3.64,3.645,3.635,3.61,3.565,3.525,3.46,3.45,3.41,3.36,3.33,3.29,3.24,3.19,3.16,3.12,,,,,,,,,,,,
2023-04-14,,,,,,,,,,,,,3.565,3.62,3.645,3.655,3.655,3.63,3.6,3.56,3.505,3.495,3.46,3.41,3.38,3.34,3.29,3.24,3.205,3.165,,,,,,,,,,,,
2023-04-17,,,,,,,,,,,,,3.565,3.62,3.645,3.65,3.655,3.64,3.605,3.565,3.505,3.5,3.465,3.41,3.36,3.32,3.275,3.225,3.19,3.155,,,,,,,,,,,,
2023-04-18,,,,,,,,,,,,,3.565,3.62,3.645,3.675,3.67,3.665,3.625,3.59,3.54,3.53,3.505,3.46,3.41,3.37,3.325,3.275,3.24,3.205,,,,,,,,,,,,
2023-04-19,,,,,,,,,,,,,3.565,3.645,3.675,3.705,3.735,3.725,3.69,3.665,3.62,3.615,3.59,3.555,3.505,3.465,3.425,3.39,3.365,3.33,,,,,,,,,,,,
2023-04-20,,,,,,,,,,,,,3.565,3.655,3.71,3.74,3.785,3.78,3.765,3.745,3.705,3.7,3.68,3.64,3.59,3.55,3.51,3.475,3.45,3.415,,,,,,,,,,,,
2023-04-21,,,,,,,,,,,,,3.565,3.65,3.71,3.76,3.81,3.815,3.78,3.765,3.725,3.72,3.7,3.67,3.62,3.58,3.54,3.505,3.48,3.445,,,,,,,,,,,,
2023-04-24,,,,,,,,,,,,,3.565,3.645,3.695,3.74,3.785,3.785,3.76,3.74,3.695,3.685,3.66,3.62,3.57,3.53,3.49,3.455,3.43,3.395,,,,,,,,,,,,
2023-04-25,,,,,,,,,,,,,3.565,3.64,3.69,3.735,3.785,3.79,3.76,3.73,3.69,3.68,3.655,3.615,3.565,3.525,3.485,3.45,3.425,3.39,,,,,,,,,,,,
2023-04-26,,,,,,,,,,,,,3.565,3.64,3.69,3.735,3.785,3.79,3.76,3.73,3.69,3.68,3.655,3.615,3.565,3.525,3.485,3.45,3.425,3.39,,,,,,,,,,,,
2023-04-27,,,,,,,,,,,,,3.565,3.585,3.61,3.62,3.635,3.63,3.58,3.545,3.49,3.485,3.45,3.4,3.35,3.31,3.27,3.235,3.21,3.175,,,,,,,,,,,,
2023-04-28,,,,,,,,,,,,,3.565,3.59,3.61,3.63,3.65,3.655,3.61,3.57,3.52,3.515,3.48,3.435,3.385,3.345,3.305,3.27,3.245,3.21,,,,,,,,,,,,
2023-05-01,,,,,,,,,,,,,3.565,3.59,3.62,3.64,3.675,3.68,3.64,3.605,3.555,3.55,3.515,3.47,3.42,3.38,3.34,3.305,3.28,3.245,,,,,,,,,,,,
2023-05-02,,,,,,,,,,,,,,3.59,3.625,3.66,3.695,3.695,3.665,3.635,3.585,3.57,3.53,3.48,3.425,3.385,3.345,3.31,3.285,3.25,3.25,,,,,,,,,,,
2023-05-03,,,,,,,,,,,,,,3.795,3.85,3.905,3.96,3.965,3.95,3.92,3.86,3.855,3.815,3.755,3.695,3.655,3.615,3.575,3.53,3.475,3.38,,,,,,,,,,,
2023-05-04,,,,,,,,,,,,,,3.795,3.835,3.875,3.915,3.91,3.875,3.84,3.785,3.775,3.735,3.67,3.605,3.565,3.525,3.485,3.44,3.385,3.29,,,,,,,,,,,
